,n_words,ttr,mattr,filler_word_ratio,concreteness_score,aoa_average,average_word_length,brunets_index,honores_statistic,guirauds_statistic,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,SCONJ,VERB,OTHER,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,POS_ENTROPY,LEXICAL_DENSITY,speech_rate,pause_ratio,n_pauses,avg_pause_duration,articulation_rate,hesitation_ratio,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean,SemanticFluencyScore
n_words,1.0,-0.4094755034098932,-0.015130339629561625,0.021342538497414715,-0.06655287134294824,0.17458211078093366,0.018054122014301174,0.48482338806281927,-0.08968743797094728,0.3869624544551963,0.1300060614924861,0.053368715250867255,0.07643446971211769,-0.04581377919900379,0.02993218260550823,-0.03739033903732591,0.0156206291946354,-0.01716472242085934,0.0461051619289758,-0.06053551479951043,0.004445930630311505,0.001348957347136829,0.019134212959267177,-0.14679672388742918,-0.00950713093723383,0.09341734728412843,0.007934980829234675,-0.03391860554883741,0.025919738713617704,-0.008247701417961877,0.11234049611856128,-0.009246073280975726,0.09254187891034191,-0.048695317753097704,0.9392751366184503,-0.04910665617424727,0.06873429385220567,-0.05016938131129658,0.04163875358235261,0.07729005752624593,0.07851039643394532
ttr,-0.4094755034098932,1.0,0.5201258584417986,-0.13779729010280176,-0.11625820426249556,0.0992831210927196,0.34094049501868917,-0.9500730658644142,0.6583069273562746,-0.06106028029735527,0.03155503011443845,-0.11319688848950045,0.09250233807636411,0.08770195018070195,-0.22438144113745143,-0.12964414665418933,-0.10701086122294041,-0.09043098673713086,-0.07855646744669391,0.25962726852137563,-0.004538100302150814,0.06834881188537177,0.046806136534318796,0.3175542761380182,0.03138719037584537,-0.26418823415414455,0.03036866459908113,-0.05036785098312706,-0.0755873902412504,0.15592769487640748,-0.016785705671117177,0.22598433271624785,-0.3022889576393173,0.21472788415568808,-0.22650412770093872,0.14608264708229604,-0.1924753582735208,0.21760643907091573,0.001954526678986402,-0.015608456472150893,-0.04241892044845701
mattr,-0.015130339629561625,0.5201258584417986,1.0,-0.022831564836435256,-0.27465887945857215,0.38381956100880665,0.4286169931960853,-0.2943417566125835,0.41872410927952797,0.6076154220555262,0.18116186376072943,-0.03381639741016452,0.31582191780529817,0.001913352591227997,-0.19938827670408332,-0.4264953378246774,-0.0697653721411472,-0.3208607262189065,-0.047838303185554064,0.2459427739559124,0.24313012901615083,0.00877622146727229,0.26083575532250186,0.16695528388497796,0.048924392053086664,-0.3245829232537434,0.2839683634479865,-0.18282096348659035,-0.1311152121929132,0.03156593707080917,0.3915409011158426,0.10625129756511209,0.09933916953082345,-0.11928070853818006,-0.03865632871174535,-0.05315945790464606,0.04120370389002967,-0.12301216096585307,0.09528872882394596,0.07437941749475084,0.16699300949037238
filler_word_ratio,0.021342538497414715,-0.13779729010280176,-0.022831564836435256,1.0,-0.13148794398073058,0.026071182678868394,-0.20941998248702723,0.15773912876930807,-0.07023075129922747,0.07253818058039388,-0.025439513753500887,-0.17618358606911738,0.12781109607639546,-0.2118197672923226,0.03358809272915928,-0.20862020839776646,0.9180541464877968,-0.2851927643956878,-0.0779294930323138,-0.07727126403639958,0.0853278640820289,0.008144427804731924,0.06390750549679969,-0.10984096971897361,0.04458864887301159,-0.0757075635379176,0.16589466687923535,0.05226221028474803,-0.1495991437174175,0.3302106753642137,0.40415808484064997,-0.2978209458978961,0.05099172719496179,-0.16603877754850202,-0.03416850930343177,-0.08885933015877784,-0.06459927813212545,-0.1661197483683378,-0.017572508957874315,0.022462850852195702,-0.04289813769933956
concreteness_score,-0.06655287134294824,-0.11625820426249556,-0.27465887945857215,-0.13148794398073058,1.0,-0.5568147442471494,-0.15969758019759966,0.01651005736915211,-0.1830556903496395,-0.2926040595336892,-0.12989369643716492,0.1929233923141402,-0.3876340694765971,-0.2408086997085178,-0.12330907367506534,0.27551585370398446,-0.10798077163825064,0.6193397894202891,0.20518342255073138,-0.4116224079331753,-0.13715577108835414,0.06732224978442042,-0.33817349210567665,-0.004837212757288922,-0.022692122008481978,0.32681444187196595,-0.33420563619961535,-0.31485107039253424,-0.1819376516691922,0.22370855720917596,-0.5400296502945872,0.2930342477252767,-0.1196924417772362,0.11084942075068781,-0.028833379045506684,0.06583432194514895,-0.0710638242695465,0.11193117488409357,-0.03452847164568158,-0.05954199913674508,-0.04963070813655456
aoa_average,0.17458211078093366,0.0992831210927196,0.38381956100880665,0.026071182678868394,-0.5568147442471494,1.0,0.4222824987967993,0.05703373319741312,0.20025711883269184,0.4891799330857501,0.2950808994073017,-0.01855817283294558,0.39550293291136834,0.12461641753986968,-0.049268111427061306,-0.3313422842928595,0.05642050356451637,-0.3252255334947023,-0.060708599786640866,0.18968656205610296,0.058723332141718994,-0.0038460075089207482,0.22039539739963007,-0.1391176583651857,0.0613612745052281,-0.108266795805189,0.1669748884869643,-0.04335789385930355,0.13628761888211122,0.002758580553991472,0.450482161887087,-0.017668365665780325,0.13542464506659263,-0.18169197811528232,0.10583016657342809,-0.14719284843740077,0.032260837662124044,-0.18588472779764392,0.045075874665820824,0.08600643253454258,0.18354097873536915
average_word_length,0.018054122014301174,0.34094049501868917,0.4286169931960853,-0.20941998248702723,-0.15969758019759966,0.4222824987967993,1.0,-0.22983089627024342,0.27907749514491975,0.28574071918351646,0.20743093448283653,-0.041361259906036264,0.25914588944320915,-0.007144354973911995,-0.1645455902334987,-0.16020908403130477,-0.23812494695862688,0.005540841976100174,-0.060807192575805157,0.07126701992928577,-0.009459324206896543,0.01848058662474557,0.11886884822868367,0.1250075777114843,0.011944709104376616,-0.12628054325075672,-0.004985679498699208,-0.1801979157834498,-0.11644578892943146,0.18012525216248151,0.05978650006535869,0.3743385942951797,-0.04887918454077815,0.03010123190892958,0.037521536461276955,-0.02076199535667699,-0.03461163698071749,0.02930522067468528,0.008290956316405052,0.013142860442768762,0.142419510276698
brunets_index,0.48482338806281927,-0.9500730658644142,-0.2943417566125835,0.15773912876930807,0.01651005736915211,0.05703373319741312,-0.22983089627024342,1.0,-0.5171892017515612,0.33828281982016506,0.05611790703018571,0.12487781439826674,0.022069432810936835,-0.10837384607119097,0.2003889623172904,0.008041755286430774,0.1133619647792585,-0.002185257758497178,0.07835833292867334,-0.22161482957901438,0.0720823290172494,-0.07596902170714935,0.014201711021813241,-0.3436446792990276,-0.024290411248777424,0.2169705594494408,0.04510767779642037,-0.004782042923507861,0.047186752884250005,-0.15497128402121396,0.17189032236107002,-0.2175874259093485,0.3964910520372974,-0.30465110801738704,0.261212783873256,-0.2077542213023875,0.24085723159026273,-0.3093686268561207,0.025225182714342372,0.053285396311849226,0.11989827269824203
honores_statistic,-0.08968743797094728,0.6583069273562746,0.41872410927952797,-0.07023075129922747,-0.1830556903496395,0.20025711883269184,0.27907749514491975,-0.5171892017515612,1.0,0.2903909338752623,0.13186059102193262,-0.020513261255767287,0.1018857853929354,0.06341219093950115,-0.13703460617098312,-0.015238813698322057,-0.04310587252206012,-0.041156834261742346,-0.08007126467411317,0.13357183246154838,-0.09871061596405872,0.02231200849929701,-0.016868321347610512,0.08254296128417501,0.0023889784164148518,-0.09452722302493653,-0.06964744749166216,0.028799042998533017,-0.0019660078725807777,0.1196401321772529,0.03380769871187164,0.15742294970092602,-0.1332119182431983,0.05876252433373104,-0.02294326658620859,0.044193669698759826,-0.11600578784172037,0.05897797902939282,0.036084493507318904,0.03952290416763376,0.0476001060895612
guirauds_statistic,0.3869624544551963,-0.06106028029735527,0.6076154220555262,0.07253818058039388,-0.2926040595336892,0.4891799330857501,0.28574071918351646,0.33828281982016506,0.2903909338752623,1.0,0.2553984666751289,0.01332618039064047,0.3891455856622524,-0.08790961359408316,-0.017734177526678396,-0.37449825030384987,0.032083518313430925,-0.28741468363837536,0.010729633248695023,0.05015245422179728,0.25173540989442017,-0.02644294477416713,0.19890968289840175,-0.13308236298600082,0.009434660422688207,-0.09907101803654224,0.2666056479394783,-0.1680865990493676,-0.07159670249319164,-0.013700974495964134,0.4951118802099679,-0.001648063222810674,0.3847179198874668,-0.3433099778615563,0.2008879124483056,-0.23688660223448832,0.20535534750716192,-0.35037655236110765,0.09802866052281582,0.12278081648947102,0.27472907979415656
ADJ,0.1300060614924861,0.03155503011443845,0.18116186376072943,-0.025439513753500887,-0.12989369643716492,0.2950808994073017,0.20743093448283653,0.05611790703018571,0.13186059102193262,0.2553984666751289,1.0,-0.13480969810114624,0.0988980342924397,0.03588342326856936,-0.05913604450349723,-0.15303803062527227,-0.03363972813258302,-0.1018712354856693,-0.028425365912428467,0.014356769894690237,-0.13685197275365724,0.2125360558013965,0.02105858392087012,-0.20974872741405537,0.02569568920871322,0.09304949369526672,-0.06613366562024037,-0.06649559137958182,0.15194571672815602,0.31188959792039184,0.3112070848238054,0.35043064052916295,0.05197211853057626,-0.03378657299375252,0.09159989487023705,-0.02415076925487561,0.040497457414764085,-0.033755097677513425,-0.017177041451001303,-0.0243706849587491,0.07883677015843282
ADP,0.053368715250867255,-0.11319688848950045,-0.03381639741016452,-0.17618358606911738,0.1929233923141402,-0.01855817283294558,-0.041361259906036264,0.12487781439826674,-0.020513261255767287,0.01332618039064047,-0.13480969810114624,1.0,-0.2666841070376135,-0.2988729211962562,-0.12017910349017881,0.23056988513440432,-0.17403025101774233,0.2719214864002712,0.127994702694807,-0.2659270761185065,-0.14906216201041914,-0.11701226489950142,-0.23266658538004698,-0.3576993259196414,-0.005042678932648743,0.35015012386386934,-0.24083384043853073,-0.015040544910555608,-0.11375846628738592,-0.34983649384012894,-0.3407348969225674,-0.24269159638660362,0.09746936607559496,-0.08071315205366654,0.029811907740227066,-0.0316856966101639,0.054052997359457365,-0.08389291229094675,-0.03528497845007429,0.0043808057104972225,0.1416861486258511
ADV,0.07643446971211769,0.09250233807636411,0.31582191780529817,0.12781109607639546,-0.3876340694765971,0.39550293291136834,0.25914588944320915,0.022069432810936835,0.1018857853929354,0.3891455856622524,0.0988980342924397,-0.2666841070376135,1.0,-0.04965907924714036,-0.03011561300596949,-0.4192029611993403,0.1305071861564361,-0.42892149189260287,-0.12197585999665475,0.08136080587994221,0.1838253428704269,0.03160006907186242,0.14367232500843738,0.009515773317299076,0.022374788770038026,-0.225752372627817,0.31061013854795977,-0.05274965610030261,-0.0494891470186855,0.32069532559989267,0.49166688897679384,0.26038300532473224,0.1333625686031935,-0.103021401755705,0.01887906605914763,-0.05931736673789989,0.08602023432107533,-0.10317648576328692,0.08299168903943535,0.08898763139228523,0.018124249250880735
AUX,-0.04581377919900379,0.08770195018070195,0.001913352591227997,-0.2118197672923226,-0.2408086997085178,0.12461641753986968,-0.007144354973911995,-0.10837384607119097,0.06341219093950115,-0.08790961359408316,0.03588342326856936,-0.2988729211962562,-0.04965907924714036,1.0,-0.08577250744925369,-0.08690679905388317,-0.1772297208631052,-0.1930352869027026,-0.04850046090359398,0.2263014109109062,-0.1585900212339101,-0.02857854383809045,0.11718196576141025,0.0639221628736547,0.034818868406964736,-0.15247491580709163,-0.034929431065269946,0.09866083469944652,0.8375949130520272,-0.2655666952660229,0.16114254040655177,-0.15239764998445066,-0.11389899292401731,0.05207734490274865,-0.009283606799070946,0.037036259019421994,-0.09343986403887117,0.053016178308439355,0.005732030851838956,0.01410214296096955,-0.018978757189023768
CCONJ,0.02993218260550823,-0.22438144113745143,-0.19938827670408332,0.03358809272915928,-0.12330907367506534,-0.049268111427061306,-0.1645455902334987,0.2003889623172904,-0.13703460617098312,-0.017734177526678396,-0.05913604450349723,-0.12017910349017881,-0.03011561300596949,-0.08577250744925369,1.0,-0.05019434044463968,0.0010076417475932253,-0.09845683194869187,0.04738529677220966,-0.13546105338611655,0.004831631941335964,0.06827278538684402,-0.12950368890501915,-0.1732193901970707,-0.007558802938575223,0.07893107673669271,0.032378481593235156,0.03493631385542668,0.013502959350685673,-0.24549415152468657,0.17199736554844877,-0.2787624052591848,0.10249628302351652,-0.09139258447433202,-0.019713035643513867,-0.08146466665703736,0.050533147300241284,-0.09144333328252685,0.01606169161466731,-0.03259506449774523,-0.052063403775589115
DET,-0.03739033903732591,-0.12964414665418933,-0.4264953378246774,-0.20862020839776646,0.27551585370398446,-0.3313422842928595,-0.16020908403130477,0.008041755286430774,-0.015238813698322057,-0.37449825030384987,-0.15303803062527227,0.23056988513440432,-0.4192029611993403,-0.08690679905388317,-0.05019434044463968,1.0,-0.19798599097373157,0.6262800315076713,0.03244987096734507,-0.3130144663726362,-0.5822446184194523,-0.07475246258421972,-0.32638362512363556,-0.2829534969714425,-0.06010972454973659,0.5006033101488299,-0.6710232224354038,0.5489952051290585,0.06293737150655074,-0.0945701601868863,-0.6241734334874562,0.05727598584450739,-0.13718471065888196,0.10720896435589902,0.028750425591469404,0.023767680819383134,-0.082055497661509,0.10822666185744255,-0.055739786181705546,-0.0405997546731151,0.04638044904779117
INTJ,0.0156206291946354,-0.10701086122294041,-0.0697653721411472,0.9180541464877968,-0.10798077163825064,0.05642050356451637,-0.23812494695862688,0.1133619647792585,-0.04310587252206012,0.032083518313430925,-0.03363972813258302,-0.17403025101774233,0.1305071861564361,-0.1772297208631052,0.0010076417475932253,-0.19798599097373157,1.0,-0.2557292351999063,-0.100424698931507,-0.05995217771255856,0.036881191555120145,0.04920459471911086,-0.05115495054965613,-0.13183469764013786,0.04582792259757306,-0.0353462122143606,0.11882048664269916,0.03610946147848474,-0.09193583754257728,0.4048578270629699,0.3685941218859682,-0.28833474055522024,0.008476718140481584,-0.14602865622779804,-0.027002934380429326,-0.08582265730910513,-0.10227207401199273,-0.14540143644129525,-0.00913359744628286,0.03280207096116016,-0.054913285625966896
NOUN,-0.01716472242085934,-0.09043098673713086,-0.3208607262189065,-0.2851927643956878,0.6193397894202891,-0.3252255334947023,0.005540841976100174,-0.002185257758497178,-0.041156834261742346,-0.28741468363837536,-0.1018712354856693,0.2719214864002712,-0.42892149189260287,-0.1930352869027026,-0.09845683194869187,0.6262800315076713,-0.2557292351999063,1.0,0.12988813750781916,-0.38514765064341683,-0.5139849861909491,0.029210302385846085,-0.3995338994715602,-0.3308211553053281,-0.026914346896362486,0.7320867404245788,-0.7437231897770894,-0.2899899974349581,0.005698726579339694,0.21364104304406034,-0.7312804398076641,0.4101248337243432,-0.18794995181867,0.14974053417852934,0.03911506362865577,0.04198625328420763,-0.12190704112936827,0.14909717353277474,-0.05646029815863738,-0.025394237406051498,0.007197597521681581
NUM,0.0461051619289758,-0.07855646744669391,-0.047838303185554064,-0.0779294930323138,0.20518342255073138,-0.060708599786640866,-0.060807192575805157,0.07835833292867334,-0.08007126467411317,0.010729633248695023,-0.028425365912428467,0.127994702694807,-0.12197585999665475,-0.04850046090359398,0.04738529677220966,0.03244987096734507,-0.100424698931507,0.12988813750781916,1.0,-0.15998206141579163,-0.11681575742008422,0.07442232789365956,-0.12202972545457932,-0.2124310268236391,0.01771579751655155,0.22661533166595946,-0.15374848036522945,-0.10570648863333443,0.06504717219452165,-0.17049113078064138,0.09987898275819322,-0.12430333749463589,0.011054714611652331,-0.055731747737104216,0.02933354547124959,-0.05715168923066783,-0.02521895826379735,-0.055301439903265984,0.030786399599595254,0.06050506453174509,0.036188969435609335
PART,-0.06053551479951043,0.25962726852137563,0.2459427739559124,-0.07727126403639958,-0.4116224079331753,0.18968656205610296,0.07126701992928577,-0.22161482957901438,0.13357183246154838,0.05015245422179728,0.014356769894690237,-0.2659270761185065,0.08136080587994221,0.2263014109109062,-0.13546105338611655,-0.3130144663726362,-0.05995217771255856,-0.38514765064341683,-0.15998206141579163,1.0,0.00021412748464635933,-0.050328872080908735,0.18863750116255334,0.4216637921988083,-0.007394639579018483,-0.48568006500835764,0.15885541734455302,0.025574048526108912,-0.03303786578452946,-0.0581992633182129,0.32257976051888415,-0.0010732932324059733,0.001415456351108645,0.0688833613841873,-0.02599201315573021,0.07831522084475641,0.06679410100682814,0.0705479911312447,0.02718678735128609,0.0030008752947756744,-0.02956445114914802
