,n_words,ttr,mattr,filler_word_ratio,concreteness_score,aoa_average,average_word_length,brunets_index,honores_statistic,guirauds_statistic,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,SCONJ,VERB,OTHER,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,POS_ENTROPY,LEXICAL_DENSITY,speech_rate,pause_ratio,n_pauses,avg_pause_duration,articulation_rate,hesitation_ratio,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean,PictureNamingScore
n_words,1.0,-0.41017505294939166,-0.019510248926906212,0.020976971836869154,-0.06746643801262603,0.1739741165561716,0.018186994611545496,0.4844930513515898,-0.09243167443747122,0.38831093727776966,0.1292500362052106,0.05166324802708232,0.07582476543632456,-0.04466109957856797,0.0331396816217439,-0.035580825438291296,0.015300980144039184,-0.016776609338916417,0.04742529809173587,-0.0623027951073837,0.004307432070812394,0.001302567007491937,0.018701957689990518,-0.14873079050847451,-0.009546577477772052,0.0950090596898974,0.0078070077516601815,-0.032054644204789186,0.028066884685907612,-0.01010458446246583,0.11165084276107376,-0.01126711729187015,0.09258516442199716,-0.04745082735574149,0.9395815863292261,-0.048601983935078794,0.07073246329269321,-0.048765528197812005,0.040922652386415855,0.07723799760164042,0.0844942527966514
ttr,-0.41017505294939166,1.0,0.5253624015035172,-0.13815855759627182,-0.11114112159425966,0.09489517416193527,0.3396123576731626,-0.9516645974484719,0.6614041057343538,-0.06624809921623113,0.02782607097599699,-0.10873433761285257,0.09080822210498732,0.08752292608094302,-0.22910111442397896,-0.12863070387086287,-0.10684772368964966,-0.08795989549819964,-0.07644333832640732,0.25976183068824266,-0.005437132955279783,0.06496151944703259,0.04439997733718587,0.31764194704242393,0.03134372611227219,-0.2627326846971289,0.02880181688369681,-0.05121618635497813,-0.0754916845838005,0.15530871355423942,-0.021197771873566536,0.22557117307929295,-0.3041694219335759,0.21898533947432566,-0.22656993445089588,0.1498709004697711,-0.1939413842520544,0.2219007973763552,0.004386156555933424,-0.01706664806517027,-0.07647716820581327
mattr,-0.019510248926906212,0.5253624015035172,1.0,-0.031724437778841055,-0.27770731649767827,0.37829693519811525,0.4342390559839772,-0.3052349678657667,0.41936576377712576,0.6001650370900022,0.1719497382188225,-0.039376370374232424,0.31826028565335035,0.005207049528724246,-0.18946590399540447,-0.4179044687243284,-0.0755926888515938,-0.3215897640523018,-0.04111355135856699,0.24306514123121048,0.2453956375420037,0.0025917466477999576,0.2559961230228787,0.16332823364152088,0.04926115553474251,-0.3235482253995926,0.28573262170171715,-0.16902523044262524,-0.12669437381590148,0.020949548657621157,0.3839414544715683,0.0982475031764501,0.10030007456805984,-0.10921782407148894,-0.04027164957666373,-0.047845438643749356,0.05279982826085117,-0.11212629570998515,0.09466387396831902,0.07042969600632602,0.18782941063477698
filler_word_ratio,0.020976971836869154,-0.13815855759627182,-0.031724437778841055,1.0,-0.1344243735374728,0.02193902817558488,-0.2149643855143026,0.1566273942752373,-0.06794693282231705,0.07128942290313603,-0.024575504473495314,-0.1799518626637577,0.13026554226682224,-0.2097112339389943,0.042246380456065616,-0.2063688859343724,0.9177052243864996,-0.29133423205764325,-0.077288598311392,-0.07809987600341992,0.08705787775985438,0.005566067002482565,0.05939116984111787,-0.10673508280838273,0.04516642384414051,-0.08286336582718237,0.1693382742514652,0.06366256029898067,-0.15004802298414696,0.3265771674669195,0.40237468212505023,-0.301086227257177,0.052500199936958286,-0.1617098092929511,-0.03394253751784638,-0.08754132614110612,-0.05833927072836544,-0.16171798813715016,-0.0209230692158299,0.023048755871097584,0.03922885494612792
concreteness_score,-0.06746643801262603,-0.11114112159425966,-0.27770731649767827,-0.1344243735374728,1.0,-0.5604837808409256,-0.15887956791829935,0.011831345799089165,-0.17930400313138492,-0.2955129037385853,-0.13829665111043232,0.19623614278567078,-0.38519713050161414,-0.2463375687685166,-0.12288474422925048,0.2793701247452939,-0.10772856020200057,0.6205900279448529,0.2070410324923587,-0.41310231883138115,-0.13765655395761248,0.07165669066848168,-0.3433617657597681,-0.0064260822153623075,-0.023172068486144046,0.3288134613254098,-0.33587139791773024,-0.31627896881328815,-0.18606452998392206,0.2243032019943565,-0.5430096287406719,0.2925832983363005,-0.12183836459808595,0.11172651629557877,-0.02929552639886606,0.06332395999617958,-0.07322450058782845,0.11319200871978491,-0.03578238321764129,-0.06143867652528836,-0.026033208359055787
aoa_average,0.1739741165561716,0.09489517416193527,0.37829693519811525,0.02193902817558488,-0.5604837808409256,1.0,0.42131714011953814,0.05770806693470042,0.19449793512298366,0.4863164834703916,0.2964092580658997,-0.021898072509223293,0.39338409340933256,0.13045812382382274,-0.04266272604232117,-0.3311672104435357,0.05293790599454283,-0.3272685076933113,-0.05728370705278759,0.1902803912085203,0.0594311119887016,-0.008938291424029717,0.22192705006562413,-0.14071080585088513,0.061727425803830095,-0.10862389819007086,0.16881852109167186,-0.03867449472023418,0.1426059278195513,-0.00445276911522805,0.44965690618280274,-0.022893545062556826,0.13722092674648673,-0.178951174347805,0.1059222845619034,-0.14593018632390575,0.037881691391228524,-0.1827881789401915,0.04661789529885314,0.08813920608947991,0.15176295668974563
average_word_length,0.018186994611545496,0.3396123576731626,0.4342390559839772,-0.2149643855143026,-0.15887956791829935,0.42131714011953814,1.0,-0.22901618509152302,0.2788350002363374,0.28833696156079125,0.21115341537283075,-0.03806595033096938,0.25635383479602486,-0.0058202427921357,-0.16643419312434918,-0.16412304445089557,-0.24344272049565313,0.0035445053061102997,-0.05815189787238068,0.07535104305390611,-0.007992820492069707,0.016660817316864127,0.12126339139913013,0.12609750537602654,0.012151022218893186,-0.12823499383446071,-0.002870851545270105,-0.18381331691290426,-0.11586922141529396,0.17567940436136098,0.06116114564581074,0.3738283516381526,-0.04844484025209113,0.03037838970217949,0.03692496108890664,-0.015007816700786034,-0.034119301399999004,0.029895116984220958,0.014024944984202488,0.018880890934950923,0.0703905772375733
brunets_index,0.4844930513515898,-0.9516645974484719,-0.3052349678657667,0.1566273942752373,0.011831345799089165,0.05770806693470042,-0.22901618509152302,1.0,-0.5238630895013152,0.33854307099079234,0.05599280568944089,0.1184594197678866,0.02116976355938002,-0.10710828937998405,0.21093105583168725,0.011983926580436776,0.11235506672321634,-0.003709331566414518,0.07912459827660828,-0.22547225837603252,0.07358458125337748,-0.07506327139618604,0.014269641229038663,-0.3459878632784017,-0.024359890118473594,0.21735658467122837,0.04680678685499145,0.0019303870363789925,0.04916345442460987,-0.15902581283526668,0.1720862255465375,-0.22204972632482997,0.3983044569319383,-0.30460023619807813,0.26127600340326135,-0.20954773285939213,0.24680361651127888,-0.30911221458733507,0.022421377122547097,0.053037949100625106,0.17259762862918368
honores_statistic,-0.09243167443747122,0.6614041057343538,0.41936576377712576,-0.06794693282231705,-0.17930400313138492,0.19449793512298366,0.2788350002363374,-0.5238630895013152,1.0,0.28274095789527354,0.1233239445086483,-0.01871917831209134,0.09858212546723782,0.06304901045084552,-0.1356943164622406,-0.009955987656729722,-0.040747682389030926,-0.03921567574248743,-0.07685063665795105,0.13018374343566777,-0.09806041144281819,0.0189185400928212,-0.01937986949927929,0.08019837121020766,0.0021592905491600346,-0.09186215727401618,-0.06986095522587556,0.034035728248561437,-0.0009954193078047593,0.11560410850683685,0.028044737108006586,0.1509805352871495,-0.13727151557437878,0.06674599812985034,-0.02363919051722983,0.050847287198227106,-0.1156174224304257,0.0672931421555767,0.03651267008401931,0.035126077922483755,0.05662497270523579
guirauds_statistic,0.38831093727776966,-0.06624809921623113,0.6001650370900022,0.07128942290313603,-0.2955129037385853,0.4863164834703916,0.28833696156079125,0.33854307099079234,0.28274095789527354,1.0,0.2517238605979798,0.007523749805442558,0.38681311535403934,-0.0830481020978356,-0.003160039523793401,-0.36955462115564197,0.03008320827260687,-0.28856519613202136,0.01934796692586008,0.04116955739630673,0.25548293719056947,-0.032512788851695236,0.19925747397222993,-0.14151911603529743,0.009672002192549413,-0.09436383648854953,0.2701397746329168,-0.15883335571287216,-0.063497521994955,-0.025974441524396034,0.49284896068444284,-0.014013118935884169,0.38968918673774877,-0.3397200859089714,0.20270546015302637,-0.2359524528878546,0.21811039458084092,-0.3461861677758533,0.09847199861383409,0.11961539552129967,0.274167273504728
ADJ,0.1292500362052106,0.02782607097599699,0.1719497382188225,-0.024575504473495314,-0.13829665111043232,0.2964092580658997,0.21115341537283075,0.05599280568944089,0.1233239445086483,0.2517238605979798,1.0,-0.14373613292178902,0.1010113578658389,0.03622361242818015,-0.04910654569627239,-0.14844765141623406,-0.031289021884496886,-0.10296657026701109,-0.026484353642693186,0.012707424739031404,-0.13814265288584765,0.215563208687331,0.021335507078836916,-0.21604224499967817,0.025558933240351446,0.0969279535436899,-0.06657296378199852,-0.058474596957679655,0.1558328158917769,0.31177387297506004,0.31372480330965946,0.3475988027612456,0.05326192592617838,-0.033599862650932705,0.09119661046010112,-0.02626450964134774,0.04393329943939809,-0.0328694097752062,-0.017597529647749393,-0.0235349177820647,0.07546517025562083
ADP,0.05166324802708232,-0.10873433761285257,-0.039376370374232424,-0.1799518626637577,0.19623614278567078,-0.021898072509223293,-0.03806595033096938,0.1184594197678866,-0.01871917831209134,0.007523749805442558,-0.14373613292178902,1.0,-0.26753612065736027,-0.30253361216169394,-0.11868952061602821,0.24183636123991112,-0.17550054949272015,0.2750647579699314,0.1286752340702236,-0.271634673067589,-0.14988557826118049,-0.12141080139081203,-0.23816895687449943,-0.36067688041460333,-0.0053850037093507285,0.35365792004994967,-0.24309933198119515,-0.005728267970267827,-0.11584097644320296,-0.35405846889969744,-0.34980673610500157,-0.24683198896952002,0.09475663594653927,-0.07360690236424962,0.02979465942224387,-0.02714955252062433,0.057175980512723726,-0.07672572932827883,-0.03717346948098827,0.0003471346048397153,0.19055484914511342
ADV,0.07582476543632456,0.09080822210498732,0.31826028565335035,0.13026554226682224,-0.38519713050161414,0.39338409340933256,0.25635383479602486,0.02116976355938002,0.09858212546723782,0.38681311535403934,0.1010113578658389,-0.26753612065736027,1.0,-0.045626758890802074,-0.026333129647583588,-0.4243358979375986,0.13145483171410083,-0.43310406154042713,-0.11851749254047735,0.07343889224659493,0.19079013783263102,0.028778261987884225,0.1430640963151546,0.011787300707004159,0.022764575086545523,-0.229520885632909,0.31785671625115575,-0.051661536242503324,-0.04634498799203484,0.317417944575536,0.4911250103360756,0.2559265344631702,0.13554431393490057,-0.09688758076957098,0.019093301924363884,-0.055856935877377535,0.09474200794570309,-0.0971899234325894,0.08317103801140294,0.0855437664915874,-0.03531571230922298
AUX,-0.04466109957856797,0.08752292608094302,0.005207049528724246,-0.2097112339389943,-0.2463375687685166,0.13045812382382274,-0.0058202427921357,-0.10710828937998405,0.06304901045084552,-0.0830481020978356,0.03622361242818015,-0.30253361216169394,-0.045626758890802074,1.0,-0.08135792986425408,-0.091431468830679,-0.17458283051378573,-0.1986675296240384,-0.05187261815411393,0.22967985532900087,-0.15519418612984545,-0.029352337753850002,0.12125477103204982,0.06512747367284774,0.035133359463560734,-0.15635490109160255,-0.030581572658643023,0.10128644011990849,0.8370260534034408,-0.26568183774100285,0.16683117936073294,-0.154738558153271,-0.11000292546385906,0.048849096489089534,-0.009120799944619408,0.03290728885242281,-0.09137953721756831,0.05006325239451954,0.00753793225505277,0.014455934842158165,-0.018252877795057205
CCONJ,0.0331396816217439,-0.22910111442397896,-0.18946590399540447,0.042246380456065616,-0.12288474422925048,-0.04266272604232117,-0.16643419312434918,0.21093105583168725,-0.1356943164622406,-0.003160039523793401,-0.04910654569627239,-0.11868952061602821,-0.026333129647583588,-0.08135792986425408,1.0,-0.06210087471087815,0.005969825914757467,-0.0967235442601877,0.04248579015905964,-0.1286754967075051,-0.001935475665954369,0.07319710726726557,-0.12467159389991456,-0.17535600281115138,-0.007509876990196648,0.08200484241794231,0.027161355205623513,0.017460125168233195,0.01894010825296939,-0.23704734527757718,0.18560976146464384,-0.271601338895353,0.10239314334120982,-0.10546855530766659,-0.019964390066315566,-0.08474166332548926,0.03762588109462243,-0.10641673791883939,0.02097607857549129,-0.022724345465154106,-0.020249678436026833
DET,-0.035580825438291296,-0.12863070387086287,-0.4179044687243284,-0.2063688859343724,0.2793701247452939,-0.3311672104435357,-0.16412304445089557,0.011983926580436776,-0.009955987656729722,-0.36955462115564197,-0.14844765141623406,0.24183636123991112,-0.4243358979375986,-0.091431468830679,-0.06210087471087815,1.0,-0.1987095239840454,0.62954144546085,0.0291602384906075,-0.30954753442830113,-0.5864911639282226,-0.0752248206360367,-0.3232393184560139,-0.28115570723157923,-0.06038262353160753,0.5020905201363811,-0.6754035381204582,0.5424979703426456,0.05833147404517685,-0.09078567288685437,-0.6230237372385733,0.06333894469910951,-0.13745123731284897,0.10190840683439763,0.029630248225380375,0.019994493830349444,-0.08883617781963794,0.10262534548050396,-0.057174865573813266,-0.04187402150920191,0.011596734394485837
INTJ,0.015300980144039184,-0.10684772368964966,-0.0755926888515938,0.9177052243864996,-0.10772856020200057,0.05293790599454283,-0.24344272049565313,0.11235506672321634,-0.040747682389030926,0.03008320827260687,-0.031289021884496886,-0.17550054949272015,0.13145483171410083,-0.17458283051378573,0.005969825914757467,-0.1987095239840454,1.0,-0.2604350696503138,-0.10040382158679102,-0.06025046161767184,0.03825758120709544,0.04615109026318712,-0.05438172876885849,-0.12772785058849828,0.04645540137822689,-0.04194761084171434,0.12174727564474142,0.04190412086409314,-0.09209361003299668,0.40310692531468373,0.36661375398812673,-0.28950203840926053,0.008798970625628878,-0.14166970991116104,-0.026443524088271803,-0.0840060342816808,-0.09842125693626558,-0.14111022063269943,-0.012139713658689268,0.03214828623174357,-0.006941631618094549
NOUN,-0.016776609338916417,-0.08795989549819964,-0.3215897640523018,-0.29133423205764325,0.6205900279448529,-0.3272685076933113,0.0035445053061102997,-0.003709331566414518,-0.03921567574248743,-0.28856519613202136,-0.10296657026701109,0.2750647579699314,-0.43310406154042713,-0.1986675296240384,-0.0967235442601877,0.62954144546085,-0.2604350696503138,1.0,0.1292430811991965,-0.3858871000221136,-0.5127193284388437,0.029352081561919416,-0.3997166364314288,-0.3288891536941829,-0.026872715167582634,0.7315063395061578,-0.7431250178472626,-0.29321019943087556,-0.0003066526823220295,0.2124172906526679,-0.734877709000085,0.41194877737559754,-0.18775493095438933,0.15073454853167145,0.03935307901478785,0.041291203734535986,-0.12204795427854799,0.15034439162697383,-0.056864041898654086,-0.026399109606282268,-0.02228660749980549
NUM,0.04742529809173587,-0.07644333832640732,-0.04111355135856699,-0.077288598311392,0.2070410324923587,-0.05728370705278759,-0.05815189787238068,0.07912459827660828,-0.07685063665795105,0.01934796692586008,-0.026484353642693186,0.1286752340702236,-0.11851749254047735,-0.05187261815411393,0.04248579015905964,0.0291602384906075,-0.10040382158679102,0.1292430811991965,1.0,-0.15798082838976377,-0.1166404965616812,0.07443636763353134,-0.12019579516491682,-0.21072215843433928,0.01781718797285796,0.22506853349114397,-0.15367327455619312,-0.11058472071200218,0.060611362271640316,-0.16703845494726902,0.10324349690758258,-0.12021165701617856,0.011909417307527552,-0.05917244532994487,0.029656000424729538,-0.05862844421921681,-0.0275231476623796,-0.059024460598906654,0.03184937437576864,0.06363251964070384,0.04526519489339303
PART,-0.0623027951073837,0.25976183068824266,0.24306514123121048,-0.07809987600341992,-0.41310231883138115,0.1902803912085203,0.07535104305390611,-0.22547225837603252,0.13018374343566777,0.04116955739630673,0.012707424739031404,-0.271634673067589,0.07343889224659493,0.22967985532900087,-0.1286754967075051,-0.30954753442830113,-0.06025046161767184,-0.3858871000221136,-0.15798082838976377,1.0,0.0015354917563642353,-0.04877146450964572,0.18622739853748477,0.4244907697885349,-0.007365193048719171,-0.4883814979036668,0.1603790420054775,0.03427452621851337,-0.031872489410342014,-0.061858556768598603,0.3191694071364218,-0.0061719178258028695,0.0016594266976884087,0.07474994970837612,-0.025968102110678657,0.07840326553872391,0.07310394612521283,0.07637862531489792,0.0233868916203707,-0.005514488226483265,-0.002654295059277302
