task,target,model_a,model_b,mean_diff,ci_low,ci_high,p_boot,n_subjects,n_boot
cookieTheft,SemanticFluencyScore,baseline,acoustic,-0.11693015515596143,-0.16114164437182082,-0.07302255348224833,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,demographics,-0.08453026200094635,-0.11834092977054415,-0.04745219334749171,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,full,-0.18374561355107313,-0.23789257631706115,-0.12693256184814256,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,linguistic,-0.1172973882601347,-0.16538621917230853,-0.06965623439137023,0.0,970,1000
cookieTheft,SemanticFluencyScore,baseline,linguistic+acoustic,-0.14506681989692954,-0.19644687052414628,-0.0956348911827251,0.0,970,1000
cookieTheft,SemanticFluencyScore,demographics,full,-0.0992153515501268,-0.1461915379907462,-0.05065877761836572,0.0,970,1000
cookieTheft,SemanticFluencyScore,linguistic,full,-0.06644822529093844,-0.10420303191543777,-0.026958740469219117,0.0,970,1000
cookieTheft,SemanticFluencyScore,acoustic,full,-0.0668154583951117,-0.1072951083188582,-0.02231659357041293,0.004,970,1000
cookieTheft,SemanticFluencyScore,linguistic+acoustic,full,-0.0386787936541436,-0.06520922373512902,-0.010588752511733284,0.006,970,1000
cookieTheft,SemanticFluencyScore,demographics,linguistic+acoustic,-0.06053655789598319,-0.11717944003464693,-0.0004873131907621945,0.04,970,1000
cookieTheft,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.027769431636794836,-0.0585722968882146,0.0044762448047868135,0.097,970,1000
cookieTheft,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.028136664740968095,-0.0648088038901961,0.011164079793780937,0.139,970,1000
cookieTheft,SemanticFluencyScore,demographics,acoustic,-0.03239989315501509,-0.0847766465986049,0.01942857373275345,0.216,970,1000
cookieTheft,SemanticFluencyScore,demographics,linguistic,-0.03276712625918835,-0.08810779283383117,0.02328077702559395,0.23,970,1000
cookieTheft,SemanticFluencyScore,acoustic,linguistic,-0.0003672331041732616,-0.051901532472782265,0.05339716302548629,0.965,970,1000
journaling,SemanticFluencyScore,baseline,acoustic,-0.12094747675867165,-0.16572921103255234,-0.07698558992747424,0.0,970,1000
journaling,SemanticFluencyScore,baseline,demographics,-0.08453026200094635,-0.11834092977054415,-0.04745219334749171,0.0,970,1000
journaling,SemanticFluencyScore,baseline,full,-0.17967596821533635,-0.23394695636285998,-0.12639002708703728,0.0,970,1000
journaling,SemanticFluencyScore,baseline,linguistic+acoustic,-0.13756661376191537,-0.1900610479947891,-0.08495563591451714,0.0,970,1000
journaling,SemanticFluencyScore,linguistic,full,-0.12262126713825701,-0.1674559091363729,-0.07418006598901017,0.0,970,1000
journaling,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.08051191268483603,-0.12292600900060228,-0.038637143570066076,0.0,970,1000
journaling,SemanticFluencyScore,linguistic+acoustic,full,-0.04210935445342099,-0.06537750438854073,-0.017523137053427635,0.0,970,1000
journaling,SemanticFluencyScore,demographics,full,-0.09514570621438997,-0.14109363826277538,-0.04729228629169125,0.001,970,1000
journaling,SemanticFluencyScore,acoustic,full,-0.05872849145666467,-0.10010817672137129,-0.014195082621516815,0.011,970,1000
journaling,SemanticFluencyScore,baseline,linguistic,-0.05705470107707932,-0.10230319180305766,-0.009676779596011707,0.019,970,1000
journaling,SemanticFluencyScore,acoustic,linguistic,0.06389277568159234,0.007325118750386921,0.12123300419146035,0.032,970,1000
journaling,SemanticFluencyScore,demographics,linguistic+acoustic,-0.053036351760969,-0.10877942027411501,0.005083182283737372,0.07,970,1000
journaling,SemanticFluencyScore,demographics,acoustic,-0.036417214757725316,-0.083952603076177,0.014915497898055876,0.142,970,1000
journaling,SemanticFluencyScore,demographics,linguistic,0.02747556092386702,-0.024973062798944203,0.08056335786650529,0.33,970,1000
journaling,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.01661913700324368,-0.054996751619240024,0.021878327448589415,0.413,970,1000
picnicScene,SemanticFluencyScore,baseline,acoustic,-0.10646352758789916,-0.1499806114974507,-0.06483747279172512,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,demographics,-0.08453026200094635,-0.11834092977054415,-0.04745219334749171,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,full,-0.15528364065708253,-0.21366188094717872,-0.084222740451243,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,linguistic,-0.0882607292554853,-0.14349103237466376,-0.033795658091664786,0.0,970,1000
picnicScene,SemanticFluencyScore,baseline,linguistic+acoustic,-0.13298963026448077,-0.19199932120989768,-0.06398000980367734,0.001,970,1000
picnicScene,SemanticFluencyScore,linguistic,full,-0.06702291140159723,-0.10763427060528657,-0.02533730291490358,0.001,970,1000
picnicScene,SemanticFluencyScore,demographics,full,-0.07075337865613616,-0.12545355302961758,-0.013199683331120904,0.017,970,1000
picnicScene,SemanticFluencyScore,linguistic,linguistic+acoustic,-0.04472890100899548,-0.08551264446525612,-0.0028032260516107246,0.035,970,1000
picnicScene,SemanticFluencyScore,acoustic,full,-0.04882011306918335,-0.1002760254929729,0.005390182999669065,0.086,970,1000
picnicScene,SemanticFluencyScore,linguistic+acoustic,full,-0.02229401039260175,-0.0489761567798768,0.0029761691914065047,0.103,970,1000
picnicScene,SemanticFluencyScore,demographics,linguistic+acoustic,-0.048459368263534426,-0.11152766847453892,0.022103173584536204,0.166,970,1000
picnicScene,SemanticFluencyScore,acoustic,linguistic+acoustic,-0.026526102676581603,-0.07770932131234473,0.030872695504914616,0.35,970,1000
picnicScene,SemanticFluencyScore,demographics,acoustic,-0.02193326558695282,-0.07134399929707111,0.0318871528404113,0.385,970,1000
picnicScene,SemanticFluencyScore,acoustic,linguistic,0.018202798332413866,-0.04169612526230679,0.07887666396800333,0.554,970,1000
picnicScene,SemanticFluencyScore,demographics,linguistic,-0.0037304672545389575,-0.06434292771455978,0.05471474969659857,0.877,970,1000
