task,model,fold,r2,rmse,mae,target
cookieTheft,baseline,0,-0.008312000047947965,5.884249108813683,4.6744220163909285,SemanticFluencyScore
cookieTheft,baseline,1,-0.0013606744149325944,5.628365745917383,4.470666383250079,SemanticFluencyScore
cookieTheft,baseline,2,-0.005396918933277206,5.261358941491973,4.303298857703003,SemanticFluencyScore
cookieTheft,baseline,3,-0.017437658588599803,5.964465363589154,4.632862931028821,SemanticFluencyScore
cookieTheft,baseline,4,-0.00020776913201547842,5.652503567894628,4.510619427717874,SemanticFluencyScore
cookieTheft,demographics,0,-0.04922619906410852,6.0024443941407775,4.7557393750004735,SemanticFluencyScore
cookieTheft,demographics,1,0.028857343498551957,5.542791734440648,4.337953020183675,SemanticFluencyScore
cookieTheft,demographics,2,0.04993703232978741,5.114525537136843,4.044958715301982,SemanticFluencyScore
cookieTheft,demographics,3,0.023031604552013363,5.844641455672497,4.413414914752192,SemanticFluencyScore
cookieTheft,demographics,4,0.01832578388531214,5.599889089079249,4.406028952570564,SemanticFluencyScore
cookieTheft,linguistic,0,0.14357937992235015,5.422969226489503,4.169921631662469,SemanticFluencyScore
cookieTheft,linguistic,1,0.1374734626446814,5.22364047545223,4.102940677358749,SemanticFluencyScore
cookieTheft,linguistic,2,0.1174200135594392,4.929537717345353,4.009432708651958,SemanticFluencyScore
cookieTheft,linguistic,3,0.13175783722091305,5.50982813976433,4.258521016502009,SemanticFluencyScore
cookieTheft,linguistic,4,0.1331389758694419,5.262237820923809,4.046779444238264,SemanticFluencyScore
cookieTheft,acoustic,0,0.12377068222760346,5.485326366884144,4.323582436901511,SemanticFluencyScore
cookieTheft,acoustic,1,0.026317899977350345,5.550033933560904,4.445526891192551,SemanticFluencyScore
cookieTheft,acoustic,2,0.08628804763041109,5.015726064565239,4.167703999933565,SemanticFluencyScore
cookieTheft,acoustic,3,0.06336901762659874,5.722711819836139,4.384326859890486,SemanticFluencyScore
cookieTheft,acoustic,4,0.06484301863485253,5.465601873551826,4.263344548927637,SemanticFluencyScore
cookieTheft,linguistic+acoustic,0,0.1538285259748633,5.390422079336156,4.16452854198844,SemanticFluencyScore
cookieTheft,linguistic+acoustic,1,0.1869046040749348,5.07174951530062,4.060624890268041,SemanticFluencyScore
cookieTheft,linguistic+acoustic,2,0.1535425978943319,4.827604794350666,3.955835744270849,SemanticFluencyScore
cookieTheft,linguistic+acoustic,3,0.1378476848341489,5.4904711795911085,4.205995627220336,SemanticFluencyScore
cookieTheft,linguistic+acoustic,4,0.15292973267992638,5.201821583859033,4.044259205284822,SemanticFluencyScore
cookieTheft,full,0,0.1582696787398653,5.3762575846799905,4.165084247509412,SemanticFluencyScore
cookieTheft,full,1,0.19613584224446257,5.042877028285983,4.028278653718225,SemanticFluencyScore
cookieTheft,full,2,0.16203354054750152,4.803330548109087,3.966341768069413,SemanticFluencyScore
cookieTheft,full,3,0.15862793659974728,5.423899835452662,4.133685092843173,SemanticFluencyScore
cookieTheft,full,4,0.16225412373331627,5.173112018365232,4.014164383919237,SemanticFluencyScore
picnicScene,baseline,0,-0.008312000047947965,5.884249108813683,4.6744220163909285,SemanticFluencyScore
picnicScene,baseline,1,-0.0013606744149325944,5.628365745917383,4.470666383250079,SemanticFluencyScore
picnicScene,baseline,2,-0.005396918933277206,5.261358941491973,4.303298857703003,SemanticFluencyScore
picnicScene,baseline,3,-0.017437658588599803,5.964465363589154,4.632862931028821,SemanticFluencyScore
picnicScene,baseline,4,-0.00020776913201547842,5.652503567894628,4.510619427717874,SemanticFluencyScore
picnicScene,demographics,0,-0.04922619906410852,6.0024443941407775,4.7557393750004735,SemanticFluencyScore
picnicScene,demographics,1,0.028857343498551957,5.542791734440648,4.337953020183675,SemanticFluencyScore
picnicScene,demographics,2,0.04993703232978741,5.114525537136843,4.044958715301982,SemanticFluencyScore
picnicScene,demographics,3,0.023031604552013363,5.844641455672497,4.413414914752192,SemanticFluencyScore
picnicScene,demographics,4,0.01832578388531214,5.599889089079249,4.406028952570564,SemanticFluencyScore
picnicScene,linguistic,0,0.1685160386004254,5.343434874096589,4.116284555007303,SemanticFluencyScore
picnicScene,linguistic,1,0.13819837162433457,5.221444914109219,4.144591265560543,SemanticFluencyScore
picnicScene,linguistic,2,0.0927689640161311,4.9979062537019585,4.062231241638029,SemanticFluencyScore
picnicScene,linguistic,3,0.11630577363147687,5.558640989427756,4.34418380910971,SemanticFluencyScore
picnicScene,linguistic,4,0.17220023019449338,5.142311536907451,4.105966600202781,SemanticFluencyScore
picnicScene,acoustic,0,0.12561086120052622,5.47956344202616,4.257762823372578,SemanticFluencyScore
picnicScene,acoustic,1,0.05309649605566402,5.473182217080388,4.471123688942772,SemanticFluencyScore
picnicScene,acoustic,2,0.12905952176472446,4.896924341014515,3.972071542775072,SemanticFluencyScore
picnicScene,acoustic,3,0.033914660551767395,5.811996748267283,4.469442361569115,SemanticFluencyScore
picnicScene,acoustic,4,0.11478659657044865,5.317649689182656,4.211834550776115,SemanticFluencyScore
picnicScene,linguistic+acoustic,0,0.18410012440168932,5.293123361656188,4.083841089446858,SemanticFluencyScore
picnicScene,linguistic+acoustic,1,0.17707667834434537,5.1023086982487005,4.113242469883245,SemanticFluencyScore
picnicScene,linguistic+acoustic,2,0.13341135059550313,4.884674787559678,4.012918065173159,SemanticFluencyScore
picnicScene,linguistic+acoustic,3,0.14671793197995797,5.462153821311008,4.230256910858712,SemanticFluencyScore
picnicScene,linguistic+acoustic,4,0.22882462903903888,4.963320371494954,3.9678560386824926,SemanticFluencyScore
picnicScene,full,0,0.1954611738500216,5.256141957278473,4.064854296802352,SemanticFluencyScore
picnicScene,full,1,0.17413956168844535,5.11140597832346,4.106042326373688,SemanticFluencyScore
picnicScene,full,2,0.1467349330556924,4.8469790125945735,4.005792434035255,SemanticFluencyScore
picnicScene,full,3,0.1508191995631284,5.4490111933209455,4.208516110485714,SemanticFluencyScore
picnicScene,full,4,0.24097882840089258,4.924052540964443,3.9372427171883375,SemanticFluencyScore
journaling,baseline,0,-0.008312000047947965,5.884249108813683,4.6744220163909285,SemanticFluencyScore
journaling,baseline,1,-0.0013606744149325944,5.628365745917383,4.470666383250079,SemanticFluencyScore
journaling,baseline,2,-0.005396918933277206,5.261358941491973,4.303298857703003,SemanticFluencyScore
journaling,baseline,3,-0.017437658588599803,5.964465363589154,4.632862931028821,SemanticFluencyScore
journaling,baseline,4,-0.00020776913201547842,5.652503567894628,4.510619427717874,SemanticFluencyScore
journaling,demographics,0,-0.04922619906410852,6.0024443941407775,4.7557393750004735,SemanticFluencyScore
journaling,demographics,1,0.028857343498551957,5.542791734440648,4.337953020183675,SemanticFluencyScore
journaling,demographics,2,0.04993703232978741,5.114525537136843,4.044958715301982,SemanticFluencyScore
journaling,demographics,3,0.023031604552013363,5.844641455672497,4.413414914752192,SemanticFluencyScore
journaling,demographics,4,0.01832578388531214,5.599889089079249,4.406028952570564,SemanticFluencyScore
journaling,linguistic,0,0.06095590126031436,5.678538521083832,4.43936391460545,SemanticFluencyScore
journaling,linguistic,1,0.0863095416050349,5.376338322658886,4.268319797451231,SemanticFluencyScore
journaling,linguistic,2,0.07596722275401668,5.043974063408309,4.10507882695672,SemanticFluencyScore
journaling,linguistic,3,0.060606137164966656,5.731146051761143,4.354793745414636,SemanticFluencyScore
journaling,linguistic,4,0.10743172304596948,5.339695072790438,4.189186828100657,SemanticFluencyScore
journaling,acoustic,0,0.10008999004367825,5.55895455486988,4.163122037092219,SemanticFluencyScore
journaling,acoustic,1,0.011201105727311922,5.592951218649486,4.5504975983228375,SemanticFluencyScore
journaling,acoustic,2,0.0020705173152435474,5.241783544466984,4.337714722250498,SemanticFluencyScore
journaling,acoustic,3,0.03076129672322736,5.821474383693214,4.446210851028996,SemanticFluencyScore
journaling,acoustic,4,0.053072230137439114,5.499891979507895,4.2935071153189455,SemanticFluencyScore
journaling,linguistic+acoustic,0,0.15000192579917515,5.4025967526621175,4.182071421121208,SemanticFluencyScore
journaling,linguistic+acoustic,1,0.13925432153721307,5.218245062728241,4.187047109394384,SemanticFluencyScore
journaling,linguistic+acoustic,2,0.13038315060288364,4.8932018278303575,3.94651456425348,SemanticFluencyScore
journaling,linguistic+acoustic,3,0.1291897217564122,5.517970699330113,4.151827601321321,SemanticFluencyScore
journaling,linguistic+acoustic,4,0.1773302976248462,5.126352723914638,4.025002022381669,SemanticFluencyScore
journaling,full,0,0.15418199924383713,5.389296084666445,4.182029694286055,SemanticFluencyScore
journaling,full,1,0.1483317381171012,5.190656348400554,4.166399774632381,SemanticFluencyScore
journaling,full,2,0.13909100351456716,4.868641306975834,3.927483400132746,SemanticFluencyScore
journaling,full,3,0.1391707191657101,5.486256801984785,4.11359771445971,SemanticFluencyScore
journaling,full,4,0.19695891084756256,5.064827015503043,3.9920833884039633,SemanticFluencyScore
